PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
200,Set 3 - Third Party,THRID-PARTY,aacm.jar,Third-party library present in application lib folder (exploded project).,\baacm(?:-[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
201,Set 3 - Third Party,THRID-PARTY,avalon-framework-cvs-20020806.jar,Third-party library present in application lib folder (exploded project).,\bavalon\-framework\-cvs[-_](?:[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
202,Set 3 - Third Party,THRID-PARTY,backport-util-concurrent.jar,Third-party library present in application lib folder (exploded project).,\bbackport\-util\-concurrent(?:-[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
203,Set 3 - Third Party,THRID-PARTY,batik.jar,Third-party library present in application lib folder (exploded project).,"(?:\bbatik(?:-[\w\.-]+)?\.jar\b)|(?i)(?:<\s*groupId\s*>\s*org\.apache\.xmlgraphics\s*<\s*/\s*groupId\s*>[\s\S]{0,300}?<\s*artifactId\s*>\s*batik\s*<\s*/\s*artifactId\s*>|<\s*artifactId\s*>\s*batik\s*<\s*/\s*artifactId\s*>|\borg\.apache\.xmlgraphics\s*:\s*batik\b|\bbatik\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM
204,Set 3 - Third Party,THRID-PARTY,bcpkix-jdk18on-1.76.jar,Third-party library present in application lib folder (exploded project).,\bbcpkix\-jdk18on[-_](?:[\w\.-]+)?\.jar\b,Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto
205,Set 3 - Third Party,THRID-PARTY,bcprov-jdk14-143.jar,Third-party library present in application lib folder (exploded project).,\bbcprov\-jdk14[-_](?:[\w\.-]+)?\.jar\b,Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto
206,Set 3 - Third Party,THRID-PARTY,bsh-2.0b2.jar,Third-party library present in application lib folder (exploded project).,\bbsh[-_](?:[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
207,Set 3 - Third Party,THRID-PARTY,castor-0.9.9.1.jar,Third-party library present in application lib folder (exploded project).,\bcastor[-_](?:[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
208,Set 3 - Third Party,THRID-PARTY,cglib-full-2.0.2.jar,Third-party library present in application lib folder (exploded project).,\bcglib\-full[-_](?:[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
209,Set 3 - Third Party,THRID-PARTY,classes12.jar,Third-party library present in application lib folder (exploded project).,\bojdbc(?:[\.-]?\d[\w\.-]*)?\.jar\b|\bclasses12\.jar\b,High,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-JDBC-Upgrade
210,Set 3 - Third Party,THRID-PARTY,com.ibm.mq.jar,Third-party library present in application lib folder (exploded project).,\bcom\.ibm\.mq(?:-[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
211,Set 3 - Third Party,THRID-PARTY,com.ibm.mqbind.jar,Third-party library present in application lib folder (exploded project).,\bcom\.ibm\.mqbind(?:-[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
212,Set 3 - Third Party,THRID-PARTY,com.ibm.mqjms.jar,Third-party library present in application lib folder (exploded project).,\bcom\.ibm\.mqjms(?:-[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
213,Set 3 - Third Party,THRID-PARTY,commons-beanutils.jar,Third-party library present in application lib folder (exploded project).,"(?:\bcommons\-beanutils(?:-[\w\.-]+)?\.jar\b)|(?i)(?:<\s*groupId\s*>\s*commons\-beanutils\s*<\s*/\s*groupId\s*>[\s\S]{0,300}?<\s*artifactId\s*>\s*commons\-beanutils\s*<\s*/\s*artifactId\s*>|<\s*artifactId\s*>\s*commons\-beanutils\s*<\s*/\s*artifactId\s*>|\bcommons\-beanutils\s*:\s*commons\-beanutils\b|\bcommons\-beanutils\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM
214,Set 3 - Third Party,THRID-PARTY,commons-betwixt-1.0-alpha-1.jar,Third-party library present in application lib folder (exploded project).,\bcommons\-betwixt[-_](?:[\w\.-]+)?\.jar\b,Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Replace-PreRelease
215,Set 3 - Third Party,THRID-PARTY,commons-codec-1.3.jar,Third-party library present in application lib folder (exploded project).,\bcommons\-codec[-_](?:[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
216,Set 3 - Third Party,THRID-PARTY,commons-collections-3.2.2.jar,Third-party library present in application lib folder (exploded project).,\bcommons\-collections[-_](?:[\w\.-]+)?\.jar\b,Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
