PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
1,Set 1,CORE,JAXB,JAXB - Java XML Binding (REMOVED in JDK 11+),javax\.xml\.bind\.(annotation\.|JAXBContext|Marshaller|Unmarshaller),High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
2,Set 1,CORE,JAX-WS,JAX-WS - Web Services (REMOVED in JDK 11+),javax\.xml\.ws\.|javax\.jws\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.ws/javax.jws.* and add a javax.* JAX-WS implementation (Metro 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAX-WS to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,High,3.0,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
3,Set 1,CORE,Activation,Java Activation Framework (REMOVED in JDK 11+),javax\.activation\.,Medium,Removed APIs,Dual-runtime: KEEP javax.activation.* and add javax.activation-api 1.2.x dependency for JDK 11+.,Dependency-Add,Externalize Activation to javax.* artifact; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
4,Set 1,CORE,CORBA,CORBA (REMOVED in JDK 11+),javax\.rmi\.CORBA|org\.omg\.CORBA,Medium,Removed APIs,Remove CORBA; replace with REST or RMI,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or RMI.,High,4.0,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
5,Set 1,CORE,Java Transaction,Java Transaction API (REMOVED in JDK 11+),javax\.transaction\.(?!xa\.),Medium,Removed APIs,Use Jakarta Transactions or Spring Transaction Management,Semi-Auto,Move to Jakarta Transactions/Spring Tx; adjust imports/config.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Semi
6,Set 2,CORE,BASE64 Encoder,Internal APIs (CRITICAL - sun.* packages),sun\.misc\.BASE64Encoder,Critical,Internal APIs,Replace sun.misc.BASE64Encoder with java.util.Base64 (available in Java 8+): Base64.getEncoder().encodeToString(bytes),Auto-Refactor,Mechanical refactor; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-Base64
7,Set 2,CORE,BASE64 Decoder,Internal APIs (CRITICAL - sun.* packages),sun\.misc\.BASE64Decoder,Critical,Internal APIs,Replace sun.misc.BASE64Decoder with java.util.Base64 (available in Java 8+): Base64.getDecoder().decode(encoded),Auto-Refactor,Mechanical refactor; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-Base64
8,Set 2,CORE,Unsafe,Internal APIs (CRITICAL - sun.* packages),sun\.misc\.Unsafe,Critical,Internal APIs,Use VarHandle or Atomic classes,Manual-API-Change,Replace with VarHandle/Atomic or redesign for safe concurrency.,High,3.0,Yes,No,Requires Migration,No,No,Dual-Unsafe-Refactor
9,Set 2,CORE,XML APIs,Internal XML APIs,com\.sun\.org\.apache\.xerces,High,Internal APIs,Use standard JDK XML APIs or Apache Xerces,Manual-Remove/Replace,Remove internal parser usage; depend on standard JAXP/Apache Xerces.,Medium,2.0,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
10,Set 2,CORE,Image APIs,Internal image APIs,com\.sun\.image\.codec\.jpeg,High,Internal APIs,Replace com.sun.image.codec.jpeg with javax.imageio.ImageIO (Java 8+).,Auto-Refactor,Mechanical refactor to ImageIO; works on both JDK 8 and JDK 21.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-ImageIO
