PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint,MatchedJars_FromLib,PackageRoots_FromLib,RegexPattern_JarBackup
200,Set 3 - Third Party,THRID-PARTY,aacm.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])aacm([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\baacm(?:-[\w\.-]+)?\.jar\b
201,Set 3 - Third Party,THRID-PARTY,avalon-framework-cvs-20020806.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])avalon\-framework([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bavalon\-framework\-cvs[-_](?:[\w\.-]+)?\.jar\b
202,Set 3 - Third Party,THRID-PARTY,backport-util-concurrent.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])backport\-util\-concurrent([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bbackport\-util\-concurrent(?:-[\w\.-]+)?\.jar\b
203,Set 3 - Third Party,THRID-PARTY,batik.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])batik([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM,,,"(?:\bbatik(?:-[\w\.-]+)?\.jar\b)|(?i)(?:<\s*groupId\s*>\s*org\.apache\.xmlgraphics\s*<\s*/\s*groupId\s*>[\s\S]{0,300}?<\s*artifactId\s*>\s*batik\s*<\s*/\s*artifactId\s*>|<\s*artifactId\s*>\s*batik\s*<\s*/\s*artifactId\s*>|\borg\.apache\.xmlgraphics\s*:\s*batik\b|\bbatik\b)"
204,Set 3 - Third Party,THRID-PARTY,bcpkix-jdk18on-1.76.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])bcpkix\-jdk18on([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto,,,\bbcpkix\-jdk18on[-_](?:[\w\.-]+)?\.jar\b
205,Set 3 - Third Party,THRID-PARTY,bcprov-jdk14-143.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])bcprov\-jdk14([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto,,,\bbcprov\-jdk14[-_](?:[\w\.-]+)?\.jar\b
206,Set 3 - Third Party,THRID-PARTY,bsh-2.0b2.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])bsh([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bbsh[-_](?:[\w\.-]+)?\.jar\b
207,Set 3 - Third Party,THRID-PARTY,castor-0.9.9.1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])castor([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcastor[-_](?:[\w\.-]+)?\.jar\b
208,Set 3 - Third Party,THRID-PARTY,cglib-full-2.0.2.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])cglib\-full([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcglib\-full[-_](?:[\w\.-]+)?\.jar\b
209,Set 3 - Third Party,THRID-PARTY,classes12.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])classes12([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),High,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-JDBC-Upgrade,,,\bojdbc(?:[\.-]?\d[\w\.-]*)?\.jar\b|\bclasses12\.jar\b
